ID,OrganizationName,OrganizationType,Address,Address2,City,State,ZipCode,OrgPhone,PCUseRestrictions,HardwarePublic,AssistiveTechnology,InternetUpload,InternetDownload,VolunteersUsed,VolunteersUsedHow,VolunteersWantedHow,Longitude,Latitude,PublicWiFiDetail,NearestParking,NearestParkingDetail,HandicapAccessDetail,PublicTransportationDetail,TimeAllowedPerUser,TimeAllowedPerUserDetail,RoomList,Hours,WEBSITE,HOURS,APPOINTMENT,INTERNET,WIFI,TRAINING
,Uptown,Chicago Public Library,929 W. Buena Avenue,,Chicago,IL,60613,(312) 744-8400,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/uptown/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Vodak-East Side,Chicago Public Library,3710 E. 106th Street,,Chicago,IL,60617,(312) 747-5500,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/vodak-east-side/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,Walker,Chicago Public Library,11071 S. Hoyne Avenue,,Chicago,IL,60643,(312) 747-1920,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/walker/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Water Works,Chicago Public Library,163 E. Pearson Street,,Chicago,IL,60611,(312) 742-8811,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/water-works/,"M-TH: 9AM-7PM; F, SA: 9AM-5PM; SU: 1PM-5PM",NA,TRUE,TRUE,FALSE
,West Belmont,Chicago Public Library,3104 N. Narragansett Avenue,,Chicago,IL,60634,(312) 746-5142,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/west-belmont/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,West Chicago Avenue,Chicago Public Library,4856 W. Chicago Avenue,,Chicago,IL,60651,(312) 743-0260,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/west-chicago-avenue/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,West Englewood,Chicago Public Library,1745 W. 63rd Street,,Chicago,IL,60636,(312) 747-3481,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/west-englewood/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,TRUE
,West Lawn,Chicago Public Library,4020 W. 63rd Street,,Chicago,IL,60629,(312) 747-7381,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/west-lawn/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,West Pullman,Chicago Public Library,830 W. 119th Street,,Chicago,IL,60643,(312) 747-1425,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/west-pullman/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,West Town,Chicago Public Library,1625 W. Chicago Ave,,Chicago,IL,60622,(312) 743-0450,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/west-town/,"M, W: 10AM-6PM; TU, TH: 12AM-8PM; F-SA: 9AM-5PM; SU: Closed",No,TRUE,TRUE,TRUE
,West Town,Chicago Public Library,1625 W. Chicago Avenue,,Chicago,IL,60622,(312) 743-0450,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/west-town/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",N,TRUE,TRUE,TRUE
,"Whitney M. Young, Jr.",Chicago Public Library,7901 S. King Drive,,Chicago,IL,60619,(312) 747-0039,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/whitney-young/,"M: 2PM-6PM; TU, TH: 12PM-8PM; W: 10AM-6PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Woodson Regional,Chicago Public Library,9525 S. Halsted Street,,Chicago,IL,60628,(312) 747-6900,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/woodson-regional/,"M-TH: 9AM-9PM; F, SA: 9AM-5PM; SU: 1PM-5PM",NA,TRUE,TRUE,TRUE
,Wrightwood-Ashburn,Chicago Public Library,8530 S. Kedzie Avenue,,Chicago,IL,60652,(312) 747-2696,,,,,,,,,,,,,,,,,,,,http://www.chipublib.org/branch/details/library/wrightwood/,"M: 2PM-6PM; TU, TH: 10AM-6PM; W: 12PM-8PM; F, SA: 9AM-5PM; SU: Closed",NA,TRUE,TRUE,FALSE
,Agassiz Elementary,Chicago Public School,2851 N Seminary Ave,,Chicago,IL,60657,(773) 534-5725,,,,,,,,,,,,,,,,,,,,http://www.agassizschool.org/,Call for hours,No,TRUE,TRUE,FALSE
,Alexander Graham Bell Elementary School,Chicago Public School,3730 N Oakley Ave,,Chicago,IL,60618,(773) 534-5150,,,,,,,,,,,,,,,,,,,,http://www.agbellschool.com,Call for hours,No,TRUE,TRUE,TRUE
,Black Magnet School,Chicago Public School,9101 S Euclid Ave,,Chicago,IL,60617,(773) 535-6390,,,,,,,,,,,,,,,,,,,,http://www.cps.edu/Schools/Pages/school.aspx?unit=7860,Call for hours,No,TRUE,FALSE,TRUE
,Cristo Rey Jesuit High School,Chicago Public School,1852 W 22nd Pl,,Chicago,IL,60608,(773) 890-6800,,,,,,,,,,,,,,,,,,,,http://www.cristorey.net/,Call for hours,No,TRUE,TRUE,FALSE
,Eli Whitney Elementary School CTC,Chicago Public School,2815 S. Komensky,,Chicago,IL,60623,(773) 540-8236,,,,,,,,,,,,,,,,,,,,http://www.cps.edu/Schools/Pages/school.aspx?unit=6440,M-TH: 3PM-8PM; SA: 9AM-1PM,No,TRUE,TRUE,TRUE
,Henson Elementary School,Chicago Public School,1326 S Avers Ave,,Chicago,IL,60623,(773) 534-1804,,,,,,,,,,,,,,,,,,,,http://www.cps.edu/Schools/Pages/school.aspx?unit=6570,Call for hours,Yes,TRUE,TRUE,FALSE
,Hubbard High School,Chicago Public School,6200 S Hamlin Ave,,Chicago,IL,60629,(773) 535-2200,,,,,,,,,,,,,,,,,,,,http://www.hubbard.cps.k12.il.us/,Call for hours,Yes,TRUE,TRUE,FALSE
,John Barry Elementary School,Chicago Public School,2828 N Kilbourn Ave,,Chicago,IL,60641,(773) 534-3455,,,,,,,,,,,,,,,,,,,,http://www.barry.cps.k12.il.us/,Call for hours,Yes,TRUE,TRUE,FALSE
,John C. Coonley Elementary School,Chicago Public School,4046 N Leavitt St,,Chicago,IL,60618,(773) 534-5140?,,,,,,,,,,,,,,,,,,,,http://coonley.org/,Call for hours,Yes,TRUE,FALSE,FALSE
,John Hope College Prep High School,Chicago Public School,5515 S Lowe Ave,,Chicago,IL,60621,(773) 535-3160,,,,,,,,,,,,,,,,,,,,http://www.johnhopecollegeprep.org/,Call for hours,Yes,TRUE,FALSE,FALSE
,Kelvyn Park High School,Chicago Public School,4343 W Wrightwood Ave,,Chicago,IL,60639,(773) 534-4200,,,,,,,,,,,,,,,,,,,,http://www.kelvynparkhs.org/,Call for hours,Yes,TRUE,FALSE,TRUE
,Monroe Elementary School,Chicago Public School,3651 W Schubert Ave,,Chicago,IL,60647,(773) 534-4155,,,,,,,,,,,,,,,,,,,,http://www.jamesmonroeschool.org/education/school/school.php?sectionid=3,Call for hours,Yes,TRUE,TRUE,FALSE
,Patrick Henry Elementary School,Chicago Public School,4250 N. St. Louis Ave.,,Chicago,IL,60618,(773) 534-5060,,,,,,,,,,,,,,,,,,,,http://www.henry.cps.k12.il.us/,Call for hours,Yes,TRUE,FALSE,FALSE
,Saucedo Scholastic Academy,Chicago Public School,2850 W 24th Blvd # 4250,,Chicago,IL,60623,(773) 534-1770,,,,,,,,,,,,,,,,,,,,http://www.cps.edu/Schools/Pages/school.aspx?unit=4250,SA: 11AM-12:45PM,Yes,TRUE,FALSE,TRUE
,Sawyer Elementary School,Chicago Public School,5248 S Sawyer Ave,,Chicago,IL,60632,(773) 535-9275,,,,,,,,,,,,,,,,,,,,http://www.sawyer.cps.k12.il.us/,Call for hours,Yes,TRUE,TRUE,FALSE
,Harold Washington College,City Colleges of Chicago,30 E. Lake Street,,Chicago,IL,60601,(312) 553-5655,,,,,,,,,,,,,,,,,,,,http://hwashington.ccc.edu/,Call for hours,No,TRUE,TRUE,TRUE
,Harry S. Truman College,City Colleges of Chicago,1145 W. Wilson,,Chicago,IL,60640,(773) 907-4429 or (773) 907-3998 or (773) 907-4849,,,,,,,,,,,,,,,,,,,,http://www.trumancollege.edu/index.php,Call for hours,No,TRUE,TRUE,TRUE
,Kennedy-King College,City Colleges of Chicago,6301 S. Halsted Street,,Chicago,IL,60621,(773) 602-5198 or (773) 602-5199,,,,,,,,,,,,,,,,,,,,http://kennedyking.ccc.edu/,Call for hours,No,TRUE,TRUE,TRUE
,Malcolm X College,City Colleges of Chicago,1900 W. Van Buren,,Chicago,IL,60612,(312) 850-7197,,,,,,,,,,,,,,,,,,,,http://malcolmx.ccc.edu/,Call for hours,No,TRUE,TRUE,TRUE
,Olive-Harvey College,City Colleges of Chicago,10001 S. Woodlawn Ave.,,Chicago,IL,60628,(773) 291-6620,,,,,,,,,,,,,,,,,,,,http://oliveharvey.ccc.edu/,Call for hours,No,TRUE,TRUE,TRUE
,Richard J. Daley College,City Colleges of Chicago,7500 S. Pulaski Ave.,,Chicago,IL,60652,(773) 838-7770 or (773) 838-7923,,,,,,,,,,,,,,,,,,,,http://daley.ccc.edu/,Call for hours,No,TRUE,TRUE,TRUE
,Wilbur Wright College,City Colleges of Chicago,4300 N. Narragansett,,Chicago,IL,60634,(773) 481-8775,,,,,,,,,,,,,,,,,,,,http://wright.ccc.edu/,Call for hours,No,TRUE,TRUE,TRUE
,A Knock At Midnight Tech Center,Community Technology Center,"400 W. 76th Street, Ste. 206",,Chicago,IL,60620,(773) 488-2960,,,,,,,,,,,,,,,,,,,,http://www.akamworks.org,M-F: 10AM-5PM,Yes,TRUE,TRUE,TRUE
,AHS Career Resource Center,Community Technology Center,"4820 N. Broadway, 3rd floor",,Chicago,IL,60640,(773) 293-8119,,,,,,,,,,,,,,,,,,,,http://www.ahschicago.org,M-F: 10AM-4PM,No,TRUE,FALSE,TRUE
,"Albany Park Community Center, Inc.",Community Technology Center,5121 N. Kimball,,Chicago,IL,60625,(773) 583-5062,,,,,,,,,,,,,,,,,,,,http://www.apcc-chgo.org/,M-TH: 9AM-9PM; F: 12PM-6PM; SA: 9AM-4PM,No,TRUE,FALSE,TRUE
,Alternatives' CTC,Community Technology Center,4730 N. Sheridan Road,,Chicago,IL,60640,(773) 506-7474,,,,,,,,,,,,,,,,,,,,http://www.alternativesyouth.org,M-F: 4PM-7PM; SA: 12PM- 4PM,No,TRUE,FALSE,TRUE
,Archer Courts CTC,Community Technology Center,2242 South Princeton,,Chicago,IL,60616,(312) 225-5340,,,,,,,,,,,,,,,,,,,,http://www.cohd.com/,"M, W: 11AM-5PM; TU, TH: 1PM-5PM",No,TRUE,FALSE,TRUE
,Arthur D. Griffin Community Learn Center,Community Technology Center,1613 West Washington Blvd.,,Chicago,IL,60612,(773) 243-1373,,,,,,,,,,,,,,,,,,,,http://www.adgclc.org,T-F: 9:30AM-12:30PM & 3:30PM-8PM; SA: 10PM-2PM,,TRUE,TRUE,TRUE
,"Asian Human Services, LEAF Program",Community Technology Center,6015 N. Francisco,,Chicago,IL,60659,(773) 338-5943,,,,,,,,,,,,,,,,,,,,http://www.ahschicago.org,M-F: 9AM-5PM,No,TRUE,FALSE,TRUE
,Association House of Chicago,Community Technology Center,1116 N. Kedzie Ave.,,Chicago,IL,60651,(773) 772-7170 x. 3102,,,,,,,,,,,,,,,,,,,,http://www.associationhouse.org,M-F: 9AM-9PM,No,TRUE,FALSE,TRUE
,Austin CTC,Community Technology Center,4943 W. Quincy,,Chicago,IL,60644,(773) 626-5685,,,,,,,,,,,,,,,,,,,,http://www.mercyhousing.org,M-W: 8:30AM-6:30PM; TH: 10AM-8PM; F: 8:30AM-6:30PM; SA: 8:30AM-5PM,,TRUE,FALSE,TRUE
,Back of the Yards Neighborhood Council CTC,Community Technology Center,"1751 W 47th Street, 2nd Floor",,Chicago,IL,60609,(773) 523-4416,,,,,,,,,,,,,,,,,,,,http://www.bync.org,M-F: 9AM-7PM,,TRUE,TRUE,TRUE
,BP Technology Center,Community Technology Center,1701 W. Superior St.,,Chicago,IL,60622,(312) 563-5800,,,,,,,,,,,,,,,,,,,,http://www.eriehouse.org,M-F: 9AM-9PM; SA: 9AM-1PM,No,TRUE,TRUE,TRUE
,CAPs - Kedzie,Community Technology Center,"7723 South Kedzie, Suite D&E",,Chicago,IL,60653,(773) 863-5089,,,,,,,,,,,,,,,,,,,,http://www.capsinc.org,M-F: 8AM-5PM,Yes,TRUE,FALSE,TRUE
,CAPs - Roseland,Community Technology Center,11444 South Halsted,,Chicago,IL,60628,(773) 568-1782,,,,,,,,,,,,,,,,,,,,http://www.capsinc.org,M-F: 8AM-5PM,No,TRUE,FALSE,TRUE
,Career Pathways Resource Center,Community Technology Center,950 East 61st Street,,Chicago,IL,60637,(773) 752-0687,,,,,,,,,,,,,,,,,,,,http://www.thecaraprogram.org,M-F: 9AM-5PM,,TRUE,FALSE,TRUE
,Career Resource Center,Community Technology Center,790 N. Milwaukee Ave.,,Chicago,IL,60642,(312) 432-1300,,,,,,,,,,,,,,,,,,,,http://www.gwtp.org,M-F: 8:30AM-4:30PM,No,TRUE,TRUE,TRUE
,Carlos Fuentes School,Community Technology Center,2845 W Barry,,Chicago,IL,60618,(312) 432-6301,,,,,,,,,,,,,,,,,,,,http://unocharterschools.org/uscn_campuses.aspx,M-TH: 5PM-8PM,,TRUE,TRUE,TRUE
,Casa Central,Community Technology Center,1335 N. California,,Chicago,IL,60622,(773) 645-2300,,,,,,,,,,,,,,,,,,,,http://www.casacentral.org/,M: 12PM-7PM; TU: 10AM-7PM; W: 1PM-7PM; TH: 10AM-12PM & 3PM-7PM; SA: 10AM-2:30PM,No,TRUE,FALSE,TRUE
,Center for Working Families (The Cara Program),Community Technology Center,4804 - 4806 South Cottage Grove Avenue,,Chicago,IL,60615,(773) 924-2205,,,,,,,,,,,,,,,,,,,,http://www.thecaraprogram.org,M-F: 9AM-5PM,,TRUE,FALSE,TRUE
,Centro Romero,Community Technology Center,6216 N. Clark St,,Chicago,IL,60660,(773) 508-5300,,,,,,,,,,,,,,,,,,,,http://www.centroromero.org,Call for hours,Yes,TRUE,TRUE,TRUE
,Charles Hayes Center,Community Technology Center,4859 S. Wabash Ave,,Chicago,IL,60615,,,,,,,,,,,,,,,,,,,,,http://www.cha.terau.com,M-F: 9AM-4PM,No,TRUE,FALSE,TRUE
,Chesterfield Community Council,Community Technology Center,651 E 88th Street,,Chicago,IL,60619,773-651-3958,,,,,,,,,,,,,,,,,,,,http://www.chesterfieldcommunitycouncil.org/,M-F: 8:30AM-4PM,Yes,TRUE,TRUE,TRUE
,Chicago Commons ETC,Community Technology Center,3441 W. Chicago Ave,,Chicago,IL,60651,(773) 826-0739,,,,,,,,,,,,,,,,,,,,http://www.chicagocommons.org/,M-F: 9AM-5PM,No,TRUE,FALSE,TRUE
,Chicago Workforce Center - Pilsen,Community Technology Center,1657 S. Blue Island Avenue,,Chicago,IL,60607,(312) 256-5716,,,,,,,,,,,,,,,,,,,,http://www.nationalable.org,M-F: 9AM-4PM,,TRUE,FALSE,TRUE
,Chinese American Service League,Community Technology Center,2141 S. Tan Court,,Chicago,IL,60616,(312) 791-0418,,,,,,,,,,,,,,,,,,,,http://www.caslservice.org,M-F: 9AM-5PM,No,TRUE,TRUE,TRUE
,Chinese Mutual Aid Association,Community Technology Center,1016 W Argyle St,,Chicago,IL,60640,(773) 784-2900,,,,,,,,,,,,,,,,,,,,http://www.chinesemutualaid.org,M-F: 10AM-6PM; SA: 9AM-2PM,No,TRUE,FALSE,TRUE
,Cleanslate (The Cara Program),Community Technology Center,1334 South Ashland,,Chicago,IL,60608,(312) 226-6361,,,,,,,,,,,,,,,,,,,,http://www.thecaraprogram.org,M-F: 7:30AM-3:30PM,,TRUE,FALSE,TRUE
,Community Job Training and Education Center,Community Technology Center,2021 W. Fulton Ave.,,Chicago,IL,60622,(312) 563-9028,,,,,,,,,,,,,,,,,,,,http://www.gwtp.org,M-F: 8:30AM-4:30PM,No,TRUE,TRUE,TRUE
,Community TV Network Youth Media Ctr.,Community Technology Center,2418 West Bloomingdale,,Chicago,IL,60647,(773) 278-8500,,,,,,,,,,,,,,,,,,,,http://www.ctvnetwork.org,M-F: 3PM-7PM,No,TRUE,TRUE,TRUE
,Continental Plaza CTC,Community Technology Center,1330 W. 76th St.,,Chicago,IL,60620,(773) 487-3300,,,,,,,,,,,,,,,,,,,,http://www.hhdc.org,T-TH: 10AM-7:30PM; F: 12:30PM-4:30PM,No,TRUE,FALSE,TRUE
,CRDDC Technology Center,Community Technology Center,25 N. Cicero Avenue,,Chicago,IL,60644,(773) 261-6098,,,,,,,,,,,,,,,,,,,,http://www.CRDDC.net,M-F: 9AM-5PM,No,TRUE,TRUE,TRUE
,Dr. David J. Lochman Cyber Center,Community Technology Center,3656 N Halsted St,,Chicago,IL,60613,(773) 472-6469,,,,,,,,,,,,,,,,,,,,http://www.centeronhalsted.org/,M-TU: 12:30PM-7:30PM; W-TH: 9:30AM-7:30PM; F: 9:30AM-5:30PM; SA-SU: 10AM-5:30PM,Yes,TRUE,TRUE,TRUE
,Employment Resource Center,Community Technology Center,1623 W. Howard,,Chicago,IL,60626,(773) 262-3515,,,,,,,,,,,,,,,,,,,,http://www.howardarea.org,M-F: 9AM-5PM; SA: 9AM-1PM,No,TRUE,FALSE,TRUE
,Erie Little Village Technology Center,Community Technology Center,4225 W. 25th. St.,,Chicago,IL,60623,(773) 542-7705,,,,,,,,,,,,,,,,,,,,http://www.eriehouse.org,M-F: 9AM-8PM,No,TRUE,TRUE,TRUE
,Erie Neighborhood House,Community Technology Center,1347 W. Erie St.,,Chicago,IL,60642,(312) 666-3430,,,,,,,,,,,,,,,,,,,,http://www.eriehouse.org,M-F: 9AM-9PM; SA: 9AM-1PM,Yes,TRUE,TRUE,TRUE
,FORUM,Community Technology Center,200 E 75th Street,,Chicago,IL,60619,(773) 994-9200,,,,,,,,,,,,,,,,,,,,http://www.forumdigital.org/chicago/,M-F: 8AM-9PM; SA: 8AM-1PM,Yes,TRUE,TRUE,TRUE
,Germano Millgate CTC,Community Technology Center,8732 South Burley,,Chicago,IL,60617,(773) 221-2210,,,,,,,,,,,,,,,,,,,,http://www.cohd.com/,"M, W: 11AM-5PM; TU, TH: 1PM-5PM",No,TRUE,FALSE,TRUE
,Goodwill Industries of Metropolitan Chicago,Community Technology Center,819 S. Wabash,,Chicago,IL,60605,(312) 212-1290,,,,,,,,,,,,,,,,,,,,http://www.goodwillchicago.com/page.asp?dbID=78,M-F: 8:30AM-4PM,Yes,TRUE,FALSE,TRUE
,Goodwill Industries of Metropolitan Chicago,Community Technology Center,2435 W. 63rd Street,,Chicago,IL,60629,(312) 212-1290,,,,,,,,,,,,,,,,,,,,http://www.goodwillchicago.com/page.asp?dbID=78,M-F: 8:30AM-4PM,No,TRUE,FALSE,TRUE
,Guild for the Blind,Community Technology Center,180 N. Michigan Avenue Suite 1700,,Chicago,IL,60601,(312) 236-8569,,,,,,,,,,,,,,,,,,,,http://www.guildfortheblind.org,M-F: 8:30AM-4:30PM,No,TRUE,FALSE,TRUE
,Harold Washington CTC,Community Technology Center,4946 W. Sheridan,,Chicago,IL,60640,(312) 447-4601,,,,,,,,,,,,,,,,,,,,http://www.mercyhousing.org,M-F: 9AM to 5PM,,TRUE,FALSE,TRUE
,Hispanic Housing Development Corporation,Community Technology Center,2610 W. North Ave,,Chicago,IL,60647,(773) 862-1892,,,,,,,,,,,,,,,,,,,,http://www.hispanichousingdevelopment.com/opportunities/workforce.html,M-F: 9AM-5PM,No,TRUE,FALSE,TRUE
,Holland CTC,Community Technology Center,240 W. 107th Place,,Chicago,IL,60628,(312) 447-4630,,,,,,,,,,,,,,,,,,,,http://www.mercyhousing.org,M-TH: 9AM-2PM,,TRUE,FALSE,TRUE
,IMAN (Inner-City Muslim Action Network),Community Technology Center,2744 W. 63rd Street,,Chicago,IL,60629,(773) 434-4626,,,,,,,,,,,,,,,,,,,,http://www.imancentral.org,M-TH: 9AM-5PM,No,TRUE,FALSE,TRUE
,Industrial Council of Nearwest Chicago (ICNC),Community Technology Center,2010 W. Fulton St.  Suite 280,,Chicago,IL,60612,(312) 421-3941,,,,,,,,,,,,,,,,,,,,http://www.industrialcouncil.com/,M-F: 10AM-3PM,Yes,TRUE,FALSE,TRUE
,Instituto del Progreso Latino (Back of the Yards Site),Community Technology Center,4600 S. Wood Street,,Chicago,IL,60609,(773) 927-7712,,,,,,,,,,,,,,,,,,,,http://www.idpl.org,M-F: 9AM-5PM,No,TRUE,FALSE,TRUE
,Instituto del Progreso Latino (Main Site - Pilsen),Community Technology Center,2570 S. Blue Island Avenue,,Chicago,IL,60608,(773) 890-0055,,,,,,,,,,,,,,,,,,,,http://www.idpl.org,M-F: 8AM-9:30PM,No,TRUE,FALSE,TRUE
,Instituto del Progreso Latino (Saint. Michaels Site),Community Technology Center,2315 W. 24th Place,,Chicago,IL,60608,(773) 890-0055,,,,,,,,,,,,,,,,,,,,http://www.idpl.org,M-F: 8:30AM-9:30PM,Yes,TRUE,FALSE,TRUE
,Interfaith Refugee & Immigration Ministries,Community Technology Center,"4753 N. Broadway, Suite 815",,Chicago,IL,60640,(773) 989-5647,,,,,,,,,,,,,,,,,,,,http://www.irim.org,M-F: 8AM-4:30PM,No,TRUE,FALSE,TRUE
,Jane Addams Hull House Association,Community Technology Center,1030 West Van Buren Street,,Chicago,IL,60607,(312) 235-7004,,,,,,,,,,,,,,,,,,,,http://www.hullhouse.org,M-F: 9AM-5PM,No,TRUE,FALSE,TRUE
,Jane Addams Hull House Association,Community Technology Center,5797 North Lincoln Avenue,,Chicago,IL,60659,(773) 506-0293,,,,,,,,,,,,,,,,,,,,http://www.hullhouse.org,M-F: 9AM-5PM,No,TRUE,FALSE,TRUE
,Jane Addams Hull House Association,Community Technology Center,1937 West Irving Park,,Chicago,IL,60613,(773) 348-1866,,,,,,,,,,,,,,,,,,,,http://www.hullhouse.org,M-F: 9AM-5PM,No,TRUE,FALSE,TRUE
,Jane Addams Resource Corporation Main CTC,Community Technology Center,"4432 N. Ravenswood, Chicago, IL",,Chicago,IL,60640,(773) 728-9769 x. 19,,,,,,,,,,,,,,,,,,,,http://www.jane-addams.org,M-SA: 9AM-9:30PM (Classes); Call for Open Lab hours,No,TRUE,FALSE,TRUE
,Jane Addams Resource Corporation Training CTC Satellite,Community Technology Center,"4222 N. Ravenswood, Chicago, IL",,Chicago,IL,60613,(773) 728-9769 x. 19,,,,,,,,,,,,,,,,,,,,http://www.jane-addams.org,M-F: 9AM-5PM,No,TRUE,FALSE,TRUE
,Jewish Vocational Service CTC,Community Technology Center,6526 N. California,,Chicago,IL,60645,(773) 743-5638,,,,,,,,,,,,,,,,,,,,http://www.jvschicago.org,M-F: 9AM-8:30PM,Yes,TRUE,TRUE,TRUE
,Jobs For Youth Chicago,Community Technology Center,"17 North State Street, Sixth Floor",,Chicago,IL,60602,(312) 499-4778,,,,,,,,,,,,,,,,,,,,http://www.jfychicago.org,M-F: 9AM-5PM,No,TRUE,FALSE,FALSE
,Knowledge Hook Up,Community Technology Center,3457 East 106th Street,,Chicago,IL,60617,(773) 221-9111,,,,,,,,,,,,,,,,,,,,http://www.knowledgehookup.org,M-F: 9AM-4PM,No,TRUE,TRUE,TRUE
,"Korean American Community Services, Inc.",Community Technology Center,4300 N. California Ave,,Chicago,IL,60618,(773) 583-5501,,,,,,,,,,,,,,,,,,,,http://www.kacschgo.org,M-F: 9AM-5PM,Yes,TRUE,TRUE,TRUE
,La Casa Norte,Community Technology Center,3533 W. North Ave.,,Chicago,IL,60647,(773) 276-4900 x. 211,,,,,,,,,,,,,,,,,,,,http://www.lacasanorte.org,M-F: 9AM-7PM,No,TRUE,FALSE,TRUE
,Lake Grove Village CTC,Community Technology Center,3515 South Cottage Grove,,Chicago,IL,60653,(773) 538-4671,,,,,,,,,,,,,,,,,,,,http://www.cohd.com/,"M, W: 11AM-5PM; TU, TH: 1PM-5PM",No,TRUE,TRUE,TRUE
,Lawndale Christian Development Corporation,Community Technology Center,3843 W. Ogden Ave,,Chicago,IL,60623,(773) 762-8889,,,,,,,,,,,,,,,,,,,,http://www.lcdc.net,M-F: 9AM-5PM,No,TRUE,FALSE,TRUE
,"LEED Council, Community Technology Center",Community Technology Center,1866 N. Marcey Street,,Chicago,IL,60614,(773) 929-5552 x. 230,,,,,,,,,,,,,,,,,,,,http://www.leedcouncil.org,"M-TH: 9AM-6:30PM; TU, TH 6:30PM-9PM; F: 9AM-5PM; SA: 10:30AM-4PM",No,TRUE,FALSE,TRUE
,Literacy Volunteers of Illinois - Kedzie Center,Community Technology Center,"1116 N. Kedzie, Suite 528",,Chicago,IL,60651,(773) 235-0915,,,,,,,,,,,,,,,,,,,,http://www.literacyvolunteersillinois.org/northsideprograms.asp,M-F: 8:30AM-4:30PM,Yes,TRUE,FALSE,TRUE
,Lowden Homes,Community Technology Center,200 W. 95th Street,,Chicago,IL,60620,,,,,,,,,,,,,,,,,,,,,http://www.cha.terau.com,"M, W, F: 10AM-6PM",Yes,TRUE,FALSE,TRUE
,Lumity,Community Technology Center,"29 E. Madison St., Ste. 1005",,Chicago,IL,60602,(312) 372-4872,,,,,,,,,,,,,,,,,,,,http://www.lumity.org,M-F: 9AM-5PM,No,TRUE,FALSE,TRUE
,MatherÂs More Than a CafÃ© (Central),Community Technology Center,3235 N. Central Ave,,Chicago,IL,60634,(773) 205-3300,,,,,,,,,,,,,,,,,,,,http://www.matherlifeways.org/iyc_wherearematherscafes.asp,M-F: 8AM-4PM,,TRUE,FALSE,TRUE
,Mather's More Than a Cafe (83rd Street),Community Technology Center,33 E. 83rd Street,,Chicago,IL,60619,(773) 488-2801,,,,,,,,,,,,,,,,,,,,http://www.matherlifeways.org/iyc_wherearematherscafes.asp,M-F: 8:30AM-4:30PM; SA: 8AM-2PM,,TRUE,FALSE,TRUE
,Mather's More Than a Cafe (Higgins),Community Technology Center,7134 W. Higgins,,Chicago,IL,60656,(773) 774-4804,,,,,,,,,,,,,,,,,,,,http://www.matherlifeways.org/iyc_mathersmorethanacafe.asp,M-TH: 7:30AM-3:30PM; F: 7:30AM-7:00PM; SA: 9AM-2PM,,TRUE,FALSE,TRUE
,National Able Network,Community Technology Center,180 North Wabash Room 600-02,,Chicago,IL,60601,(312) 580-0389,,,,,,,,,,,,,,,,,,,,http://www.nationalable.org,M-F: 9AM-4PM,,TRUE,FALSE,TRUE
,NTRC Homan Square,Community Technology Center,3517 W. Arthington St.,,Chicago,IL,60624,(773) 722-5653,,,,,,,,,,,,,,,,,,,,http://community.homansquare.org/content/page.php?cat=5&content_id=24,M-F: 10AM-6PM,,TRUE,TRUE,TRUE
